"wife_familyname_std","husband_familyname_std","year","marriage_number","husband_accession_after_marriage","wife_accession_after_marriage"
"Trevisan","Zeno",1565,1,FALSE,TRUE
"Trevisan","Baffo",1419,1,FALSE,TRUE
"Trevisan","Venier",1562,1,FALSE,TRUE
"Trevisan","Priuli",1424,1,FALSE,TRUE
"Trevisan","Longo",1518,1,FALSE,TRUE
"Trevisan","Trevisan",1458,1,TRUE,TRUE
"Trevisan","Canal",1491,1,FALSE,TRUE
"Trevisan","Donato",1596,1,FALSE,TRUE
"Trevisan","Marin",1413,1,FALSE,TRUE
"Trevisan","Trevisan",1450,1,TRUE,TRUE
"Trevisan","Deddo",1615,1,FALSE,TRUE
"Trevisan","Foscarini",1422,1,FALSE,TRUE
"Trevisan","Malipiero",1406,1,FALSE,TRUE
"Trevisan","Navager",1415,1,FALSE,TRUE
"Trevisan","Erizzo",1496,1,FALSE,TRUE
"Trevisan","Mocenigo",1471,1,FALSE,TRUE
"Trevisan","Barbaro",1471,1,FALSE,TRUE
"Trevisan","Bernardo",1541,1,FALSE,TRUE
"Trevisan","Grimani",1546,1,FALSE,TRUE
"Trevisan","Girardo",1649,1,NA,TRUE
"Trevisan","Gritti",1583,1,FALSE,TRUE
"Trevisan","Pasqualigo",1534,1,FALSE,TRUE
"Trevisan","Boldu",1515,1,FALSE,TRUE
"Trevisan","D'Avanzago",1569,1,NA,TRUE
"Trevisan","Dolfin",1542,1,FALSE,TRUE
"Trevisan","Dolfin",1533,1,FALSE,TRUE
"Trevisan","Zeno",1548,2,FALSE,TRUE
"Trevisan","Bon",1578,1,FALSE,TRUE
"Trevisan","Contarini",1501,1,FALSE,TRUE
"Trevisan","Vitturi",1489,1,FALSE,TRUE
"Trevisan","Bondumier",1522,1,FALSE,TRUE
"Trevisan","Minio",1455,1,FALSE,TRUE
"Trevisan","Morosini",1480,1,FALSE,TRUE
"Trevisan","Contarini",1642,1,FALSE,TRUE
"Trevisan","Foscari",1417,1,FALSE,TRUE
"Trevisan","Malipiero",1549,1,FALSE,TRUE
"Trevisan","Condulmer",1526,1,NA,TRUE
"Trevisan","Tiepolo",1611,1,FALSE,TRUE
"Trevisan","Coppo",1422,1,FALSE,TRUE
"Trevisan","Giustinian",1601,1,FALSE,TRUE
"Trevisan","Priuli",1511,1,FALSE,TRUE
"Trevisan","Donato",1551,1,FALSE,TRUE
